t,shareI,Tl,Tc,Tr,G,rB,Gap,B
139,0.4574,0.08139,0.0646062379806662,0.0226413,0.07,-2.94182754001902,-2.99518247799968,-111.091876231348
140,0.449,0.08265,0.0646910070085535,0.0222255,0.07,-3.02123422953053,-3.07634973653909,-114.087058709348
141,0.4596,0.08106,0.0645840365686004,0.0227502,0.07,-3.10269066120856,-3.15558449777716,-117.163408445887
142,0.456,0.0816,0.0646203661519807,0.022572,0.07,-3.1863545027183,-3.24000286887028,-120.318992943664
143,0.4484,0.08274,0.0646970619391169,0.0221958,0.07,-3.27217319821865,-3.32741446015777,-123.558995812534
144,0.4474,0.08289,0.0647071534900559,0.0221463,0.07,-3.36028772020964,-3.4157385736997,-126.886410272692
145,0.4462,0.08307,0.0647192633511826,0.0220869,0.07,-3.45077947175706,-3.50648183510824,-130.302148846392
146,0.4434,0.08349,0.0647475196938117,0.0219483,0.07,-3.54367326964826,-3.59996248934207,-133.8086306815
147,0.4484,0.08274,0.0646970619391169,0.0221958,0.07,-3.63903490458361,-3.69427616652272,-137.408593170842
148,0.4498,0.08253,0.0646829337678023,0.0222651,0.07,-3.73693882219479,-3.7918866559626,-141.102869337365
149,0.455,0.08175,0.0646304577029197,0.0225225,0.07,-3.83740767722065,-3.89126563492357,-144.894755993328
150,0.451,0.08235,0.0646708239066756,0.0223245,0.07,-3.94053112916088,-3.99522745306756,-148.786021628251
151,0.4566,0.08151,0.0646143112214174,0.0226017,0.07,-4.04635727353119,-4.09987988475261,-152.781249081319
152,0.4524,0.08214,0.064656695735361,0.0223938,0.07,-4.15501074438293,-4.20941364011829,-156.881128966071
153,0.4492,0.08262,0.0646889886983657,0.0222354,0.07,-4.26651032351492,-4.32158391221328,-161.09054260619
154,0.4514,0.08229,0.0646667872863,0.0223443,0.07,-4.38098876250801,-4.43560124979431,-165.412126518403
155,0.4552,0.08172,0.0646284393927319,0.0225324,0.07,-4.49851776358615,-4.55233380297888,-169.847727768197
156,0.4582,0.08127,0.064598164739915,0.0226809,0.07,-4.61914755920252,-4.67233482394244,-174.400061571176
157,0.458,0.0813,0.0646001830501028,0.022671,0.07,-4.74295199186119,-4.79618117491129,-179.072396395118
158,0.458,0.0813,0.0646001830501028,0.022671,0.07,-4.8700199502106,-4.9232491332607,-183.86857757003
159,0.4524,0.08214,0.064656695735361,0.0223938,0.07,-5.00045601113818,-5.05485890687354,-188.79182670329
160,0.4504,0.08244,0.064676878837239,0.0222948,0.07,-5.13434778888562,-5.18916986772286,-193.846685610164
161,0.452,0.0822,0.0646607323557366,0.022374,0.07,-5.27181880182531,-5.32630553418104,-199.035855477887
162,0.4516,0.08226,0.0646647689761122,0.0223542,0.07,-5.41294251094841,-5.46751307992452,-204.362161012068
163,0.45,0.0825,0.0646809154576145,0.022275,0.07,-5.55779573642904,-5.61270165188666,-209.829674091992
164,0.4416,0.08376,0.0647656844855019,0.0218592,0.07,-5.70648921634718,-5.76315570083268,-215.442375743879
165,0.4466,0.08301,0.064715226730807,0.0221067,0.07,-5.85913121795951,-5.91474974469032,-221.205531444712
166,0.4512,0.08232,0.0646688055964878,0.0223344,0.07,-6.01586494020946,-6.07051934580594,-227.120281189402
167,0.4482,0.08277,0.0646990802493047,0.0221859,0.07,-6.17672138618892,-6.23200456643823,-233.190800535208
168,0.4554,0.08169,0.0646264210825441,0.0225423,0.07,-6.34181411358496,-6.3955882346675,-239.422805101646
169,0.4638,0.08043,0.0645416520546568,0.0229581,0.07,-6.5112985633345,-6.56331211538915,-245.818393336314
170,0.4594,0.08109,0.0645860548787882,0.0227403,0.07,-6.68523180443235,-6.73816755931114,-252.381705451703
171,0.4504,0.08244,0.064676878837239,0.0222948,0.07,-6.86372643333583,-6.91854851217307,-259.119873011014
172,0.4378,0.08433,0.06480403237907,0.0216711,0.07,-7.04697639872582,-7.10443933110489,-266.038421523187
173,0.4418,0.08373,0.0647636661753141,0.0218691,0.07,-7.23513197132696,-7.29175653750228,-273.142860854292
174,0.4412,0.08382,0.0647697211058775,0.0218394,0.07,-7.42834299644331,-7.48509331754919,-280.434617391794
175,0.4468,0.08298,0.0647132084206192,0.0221166,0.07,-7.62664826584598,-7.68222487426659,-287.919710709343
176,0.455,0.08175,0.0646304577029197,0.0225225,0.07,-7.83021148675257,-7.88406944445549,-295.60193558361
177,0.4518,0.08223,0.0646627506659244,0.0223641,0.07,-8.03913586121134,-8.09366451187726,-303.486005028066
178,0.4506,0.08241,0.0646748605270512,0.0223047,0.07,-8.25354956346964,-8.30832972399669,-311.579669539943
179,0.4416,0.08376,0.0647656844855019,0.0218592,0.07,-8.47366337462445,-8.53032985910995,-319.887999263939
180,0.445,0.08325,0.0647313732123094,0.0220275,0.07,-8.69961518139825,-8.75556905461056,-328.418329123049
181,0.4638,0.08043,0.0645416520546568,0.0229581,0.07,-8.93160446300745,-8.98361801506211,-337.17389817766
182,0.449,0.08265,0.0646910070085535,0.0222255,0.07,-9.1697193083425,-9.22483481535105,-346.157516192722
183,0.4596,0.08106,0.0645840365686004,0.0227502,0.07,-9.41403613125411,-9.46692996782271,-355.382351008073
184,0.4552,0.08172,0.0646284393927319,0.0225324,0.07,-9.66491304189215,-9.71872908128488,-364.849280975896
185,0.465,0.08025,0.06452954219353,0.0230175,0.07,-9.92237392776098,-9.97413596995452,-374.568010057181
186,0.4598,0.08103,0.0645820182584126,0.0227601,0.07,-10.1866826959986,-10.239534614257,-384.542146027135
187,0.4566,0.08151,0.0646143112214174,0.0226017,0.07,-10.4579374629958,-10.5114600742172,-394.781680641392
188,0.4558,0.08163,0.0646223844621685,0.0225621,0.07,-10.7364099627008,-10.7901002471629,-405.293140715609
189,0.4488,0.08268,0.0646930253187413,0.0222156,0.07,-11.0222776971914,-11.0774351225101,-416.083240962772
190,0.4346,0.08481,0.0648363253420747,0.0215127,0.07,-11.3157232785668,-11.3738569039089,-427.160676085282
191,0.457,0.08145,0.0646102746010418,0.0226215,0.07,-11.6169831663541,-11.6704219409551,-438.534532989191
192,0.442,0.0837,0.0647616478651263,0.021879,0.07,-11.9263044863785,-11.9828871342436,-450.204954930146
193,0.446,0.0831,0.0647212816613704,0.022077,0.07,-12.2436911345943,-12.2994354162557,-462.18784206439
194,0.4496,0.08256,0.0646849520779901,0.0222552,0.07,-12.5695755287258,-12.6245652808038,-474.487277480646
195,0.4566,0.08151,0.0646143112214174,0.0226017,0.07,-12.9040687117026,-12.957591322924,-487.11184276145
196,0.4496,0.08256,0.0646849520779901,0.0222552,0.07,-13.2474040666648,-13.3023938187428,-500.069434084374
197,0.442,0.0837,0.0647616478651263,0.021879,0.07,-13.5997963366051,-13.6563789844702,-513.371827903116
198,0.4442,0.08337,0.0647394464530606,0.0219879,0.07,-13.9615657917917,-14.0176873382448,-527.028206887587
199,0.45,0.0825,0.0646809154576145,0.022275,0.07,-14.3329621624264,-14.3878680778841,-541.045894225831
200,0.4476,0.08286,0.0647051351798681,0.0221562,0.07,-14.7141846085841,-14.769593543764,-555.433762303715
